Region,Region_eng,Vent_idx,Vent_num,ECMO_idx,ECMO_num,Region_ID
Ханты-Мансийский АО,Khanty-Mansiysk,56.8,951.0,0.18,3.0,86.0
Самарская область,Samara Region,42.6,1353.0,0.03,1.0,63.0
Амурская область,Amur region,42.5,336.0,,,28.0
Москва,Moscow,40.0,5077.0,0.23,29.0,77.0
Кировская область,Kirov region,39.6,500.0,0.08,1.0,43.0
Архангельская область,Arhangelsk region,38.4,419.0,0.18,2.0,29.0
Республика Саха (Якутия),Saha Republic,37.2,361.0,,,14.0
Сахалинская область,Sakhalin region,37.1,181.0,0.0,0.0,65.0
Томская область,Tomsk region,37.1,400.0,0.37,4.0,70.0
Санкт-Петербург,St. Petersburg,35.2,1898.0,0.46,25.0,78.0
Липецкая область,Lipetsk region,35.1,400.0,,,48.0
Свердловская область,Sverdlovsk region,35.0,1510.0,0.05,2.0,66.0
Республика Чувашия,Chuvash Republic,34.7,422.0,0.08,1.0,21.0
Алтайский край,Altai region,34.6,802.0,0.04,1.0,22.0
Республика Крым,Republic of Crimea,34.3,656.0,,,82.0
Республика Карелия,The Republic of Karelia,32.5,200.0,0.16,1.0,10.0
Ярославская область,Yaroslavskaya oblast,31.5,395.0,,,76.0
Владимирская область,Vladimir region,31.4,426.0,0.07,1.0,33.0
Тамбовская область,Tambov Region,31.2,314.0,,,68.0
Пензенская область,Penza region,30.7,400.0,0.08,1.0,58.0
Мурманская область,Murmansk region,30.5,226.0,0.27,2.0,51.0
Псковская область,Pskov region,30.3,190.0,0.16,1.0,60.0
Республика Татарстан,Republic of Tatarstan,28.2,1100.0,,,16.0
Оренбургская область,Orenburg region,27.7,542.0,0.05,1.0,56.0
Россия,Russia,27.3,40000.0,0.1,124.0,0.0
Кемеровская область,Kemerovo region,27.3,726.0,0.08,2.0,42.0
Рязанская область,Ryazan Oblast,27.1,300.0,,,62.0
Иркутская область,Irkutsk region,26.5,633.0,,,38.0
Республика Башкортостан,Republic of Bashkortostan,25.5,1031.0,,,2.0
Республика Бурятия,The Republic of Buryatia,24.9,246.0,0.1,1.0,3.0
Красноярский край,Krasnoyarsk region,24.6,706.0,0.03,1.0,24.0
Челябинская область,Chelyabinsk region,24.5,849.0,0.06,2.0,74.0
Астраханская область,Astrakhan region,23.9,240.0,0.3,3.0,30.0
Забайкальский край,Transbaikal region,22.8,242.0,,,75.0
Саратовская область,Saratov region,22.1,536.0,,,64.0
Вологодская область,Vologda Region,22.1,257.0,,,35.0
Курская область,Kursk region,21.9,242.0,0.09,1.0,46.0
Орловская область,Oryol Region,21.8,160.0,,,57.0
Республика Марий Эл,Mari El Republic,20.9,124.0,0.0,0.0,12.0
Новосибирская область,Novosibirsk region,20.4,570.0,0.18,5.0,54.0
Тульская область,Tula region,20.3,297.0,,,71.0
Удмуртская Республика,Udmurt republic,20.2,303.0,,,18.0
Пермский край,Perm,20.0,520.0,0.04,1.0,59.0
Костромская область,Kostroma region,19.1,121.0,,,44.0
США,USA,18.8,68000.0,,,
Калининградская область,Kaliningrad region,18.8,190.0,0.2,2.0,39.0
Омская область,Omsk region,18.7,361.0,,,55.0
Ивановская область,Ivanovo region,17.9,178.0,,,37.0
Краснодарский край,Krasnodar region,17.6,1000.0,0.07,4.0,23.0
Белгородская область,Belgorod region,16.8,260.0,,,31.0
Ростовская область,Rostov region,15.3,643.0,0.05,2.0,61.0
Воронежская область,Voronezh region,15.0,348.0,,,36.0
Ленинградская область,Leningrad region,14.3,268.0,,,47.0
Великобритания,United Kingdom,12.9,8175.0,,,
Севастополь,Sevastopol,12.9,58.0,0.22,1.0,92.0
Тверская область,Tver region,9.4,118.0,0.0,0.0,69.0
Украина,Ukraine,8.6,3600.0,0.08,15.0,
Италия,Italy,8.3,5000.0,,,
Калужская область,Kaluga region,4.8,48.0,0.1,1.0,40.0
Брянская область,Bryansk region,,,0.08,1.0,32.0
Московская область,Moscow region,,,0.01,1.0,50.0
Смоленская область,Smolensk region,,,0.11,1.0,67.0
Нижегородская область,Nizhny Novgorod Region,,,0.03,1.0,52.0
Республика Мордовия,The Republic of Mordovia,,,0.13,1.0,13.0
Республика Коми,Komi Republic,,,0.12,1.0,11.0
Хабаровский край,Khabarovsk region,,,0.08,1.0,27.0
